region1,region,service,time,elos_achievable,elos,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,power,4,2,Power to response priority sites and key utility sites,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Karori,Karori,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Newtown,Newtown,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Miramar,Miramar,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,power,5,1,At least 80% of individuals receive at least 80% of ‘BAU’ delivery,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Karori,Karori,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Newtown,Newtown,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Miramar,Miramar,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
