dest_type,lat,lon,label,address,1,2,3,4,5,nearest_priority_road,dist_to_priority_road,suburb_resupply_day,comments
fuel_station,-41.137973,174.847673,Z Mungavin Avenue,"Mungavin Avenue, Porirua",2,2,2,1,1,1,0,7,Priority fuel station. Fuel only available while stocks allow. Generator installed.
fuel_station,-41.105329,174.916687,Challenge Pauatahanui,"9 Paikakariki Hill Rd, Porirua",3,3,3,3,1,,,,
fuel_station,-41.17572648,174.8254888,BP Connect Tawa,98-100 Main Rd Tawa,3,3,3,3,1,,,,
fuel_station,-41.184054,174.825658,Z Tawa,"Main Road, Tawa",3,2,2,1,1,1,0,7,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed.. "
fuel_station,-41.181261,174.835258,BP Grenada North Truckstop,50 Takapu Road (Diesel only),3,3,3,3,1,,,,
fuel_station,-41.182648,174.824225,Waitomo Outlet City Tawa,"26-28 Main Rd, Tawa",3,3,3,3,1,,,,
fuel_station,-41.22566147,174.8073621,BP Connect Johnsonville,117 Johnsonville Rd. Johnsonville,3,3,3,3,1,,,,
fuel_station,-41.22641416,174.8067887,Z Johnsonville,"136-140 Johnsonville Rd, Johnsonville",2,2,2,1,1,1,0,7,Priority fuel station. Fuel only available while stocks allow. Generator installed. 
fuel_station,-41.221981,174.807213,Mobil Johnsonville,"4 Johnsonville Rd, Johnsonville",3,3,3,3,1,,,,
fuel_station,-41.22967483,174.817354,BP 2go Newlands,101 Newlands Rd. Newlands,3,3,3,3,1,,,,
fuel_station,-41.218211,174.80725,Waitomo Johnsonville,2 Ohariu Rd,3,3,3,3,1,,,,
fuel_station,-41.25604444,174.7656808,Z Crofton Downs,"110 Churchill Dr, Crofton Downs",3,2,2,1,1,1,0,7,"Priority fuel station. Fuel only available while stocks allow.  No generator on-site, so fuel commences from when generator can be installed."
fuel_station,-41.255502,174.797898,Caltex Old Hutt Rd,"208 Old Hutt Rd, Kaiwharawhara",3,3,3,3,1,,,,
fuel_station,-41.266519,174.782565,Waitomo Tinakori,"24-26 Hutt Rd, Tinakori ",3,3,3,3,1,,,,
fuel_station,-41.28493705,174.7363491,BP 2Go Karori,276-280 Karori Rd. Karori,3,2,2,1,1,3,0,13,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed."
fuel_station,-41.284654,174.73806,Mobil Karori,"245 Karori Rd, Karori",3,3,3,3,1,,,,
fuel_station,-41.29071662,174.7802313,BP Connect Roadmaster,"Taranaki St. & Wakefield St., Wellington",3,3,3,3,1,,,,
fuel_station,-41.30300753,174.7794901,BP Connect Adelaide Rd,44-55 Adelaide Rd. Newtown,3,3,3,3,1,,,,
fuel_station,-41.297083,174.7765331,Z Taranaki Street,"155 Taranaki St, Wellington",2,2,2,1,1,2,0,14,Priority fuel station. Fuel only available while stocks allow. Generator installed.
fuel_station,-41.31326794,174.7819206,Z Constable Street,"35-41 Constable St, Newtown",3,3,3,3,1,,,,
fuel_station,-41.29443298,174.7742554,Z Vivien St,"174 Vivien St, Wellington",3,3,3,3,1,,,,
fuel_station,-41.30652773,174.7632565,BP 2go Brooklyn,217 -219 Ohiro Rd. Brooklyn,3,3,2,1,1,2,0,10,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed."
fuel_station,-41.31969389,174.7755638,BP 2go Berhampore,36 Luxford. St. Berhampore,3,3,3,3,1,,,,
fuel_station,-41.325767,174.810198,Z Wellington Airport,"Rongotai, Wellington",3,3,2,1,1,2,0,14,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed."
fuel_station,-41.31759269,174.7954389,Mobil Kilbirnie,"1 Bay Road, Kilbirnie",3,3,3,3,1,,,,
fuel_station,-41.319387,174.795941,Pak n Save Kilbirnie Fuel,"25 Onepu Rd, Kilbirnie",3,3,3,3,1,,,,
fuel_station,-41.31999003,174.7943748,Z Kilbirnie,"16-22 Coutts St, Kilbirnie",3,3,3,3,1,,,,
fuel_station,-41.31508108,174.8138805,Z Miramar,"27 Miramar Ave, Miramar",3,3,3,3,1,,,,
fuel_station,-41.315199,174.8143,New World Miramar Fuel,"29-35 Miramar Ave, Miramar",3,3,3,3,1,,,,
fuel_station,-41.32544922,174.8101997,Z Broadway,"Cnr Calabar Rd and Broadway, Strathmore",3,3,3,3,1,,,,
fuel_station,-41.12353986,175.0757681,BP Connect Upper Hutt,963-967 Fergusson Dr. Upper Hutt,3,3,2,1,1,1,0,10/90,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed."
fuel_station,-41.10895736,175.0974192,Caltex Rimutuka ,"1193 Fergusson Dr, Upper Hutt.",3,3,3,3,1,,,,
fuel_station,-41.124709,175.039538,Challenge Moonshine,"73-75 Moonshine Rd, Upper Hutt",3,3,3,3,1,,,,
fuel_station,-41.123168,175.066219,Pak n Save Upp Hutt Fuel,"3-19 Royal St, Upper Hutt",3,3,3,3,1,,,,
fuel_station,-41.146677,175.010041,Mobil Silverstream ,"170 Fergusson Drive, Silverstream",3,3,3,3,1,,,,
fuel_station,-41.137043,175.032575,Z Trentham,"430 Fergusson Dr, Upper Hutt",3,3,3,3,1,,,,
fuel_station,-41.16142957,174.981588,Caltex Stokes Valley,7 Stokes Valley Rd. Stokes Valley,3,3,3,3,1,,,,
fuel_station,-41.17867848,174.9610193,BP 2go Taita,1217 High St. Taita,3,3,2,1,1,1,0,10/90,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed."
fuel_station,-41.22289794,174.9119541,BP Connect Waiwhetu,72-74 Whites Line Waiwhetu,3,3,3,3,1,,,,
fuel_station,-41.20452587,174.9115346,BP Connect Melling,17 Melling Rd. Lower Hutt,3,3,3,3,1,,,,
fuel_station,-41.2004513,174.9470857,Caltex Naenae,"Cnr Holland and Vogel St, Naenae",3,3,3,3,1,,,,
fuel_station,-41.20320916,174.9225944,Mobil Lower Hutt ,"657 High Street, Lower Hutt ",3,3,3,3,1,,,,
fuel_station,-41.204134,174.91432,Z Vic Corner,"545-555 High St, Lower Hutt",3,3,3,3,1,,,,
fuel_station,-41.205097,174.912628,Pak n Save Lower Hutt ,Cnr Brunswick & High St,3,3,3,3,1,,,,
fuel_station,-41.21419805,174.8871943,Z Hutt Road,"453 Hutt Rd, Lower Hutt",3,3,3,3,1,,,,
